Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,102.059998,103.669998,101.389999,102.040001,100.615440,389700
2020-10-01,102.510002,105.360001,102.370003,104.750000,103.287598,437700
2020-10-02,102.879997,107.050003,102.879997,105.980003,104.500443,262000
2020-10-05,107.120003,109.250000,107.019997,108.330002,106.817627,259900
2020-10-06,109.080002,109.800003,106.379997,106.529999,105.042755,324100
2020-10-07,108.300003,109.980003,106.529999,109.459999,107.931847,257300
2020-10-08,110.000000,112.010002,109.589996,112.000000,110.436386,208400
2020-10-09,113.050003,113.580002,111.459999,111.750000,110.189880,193400
2020-10-12,112.129997,113.779999,111.589996,112.580002,111.008293,168300
2020-10-13,111.430000,112.930000,110.410004,112.150002,110.584290,210400
2020-10-14,112.580002,113.620003,111.959999,112.339996,110.771637,180000
2020-10-15,110.709999,113.349998,110.660004,113.209999,111.629494,233800
2020-10-16,113.290001,114.360001,112.470001,113.239998,111.659065,295500
2020-10-19,113.430000,115.169998,111.790001,112.400002,110.830811,575100
2020-10-20,113.529999,114.989998,112.070000,112.239998,110.673035,351900
2020-10-21,112.269997,113.559998,112.000000,112.000000,110.436386,318300
2020-10-22,108.000000,111.160004,107.000000,110.739998,109.193977,517400
2020-10-23,112.589996,112.629997,110.309998,111.239998,109.686996,375000
2020-10-26,110.029999,110.650002,107.669998,107.900002,106.393623,367600
2020-10-27,107.230003,110.349998,107.010002,108.889999,107.369804,477600
2020-10-28,106.260002,107.919998,105.989998,106.339996,104.855400,434100
2020-10-29,105.419998,109.790001,105.010002,108.709999,107.192314,445400
2020-10-30,108.199997,109.790001,107.430000,108.989998,107.468407,413300
2020-11-02,110.430000,111.250000,109.080002,110.919998,109.371460,263700
2020-11-03,112.589996,112.589996,110.739998,111.589996,110.032104,309500
2020-11-04,110.050003,111.040001,107.360001,108.260002,106.748596,290600
2020-11-05,109.559998,113.540001,109.559998,112.120003,110.554718,251400
2020-11-06,113.389999,113.940002,111.709999,112.300003,110.732201,210800
2020-11-09,118.949997,122.160004,115.220001,117.209999,115.573647,359200
2020-11-10,117.980003,120.379997,117.160004,118.989998,117.328796,346300
2020-11-11,119.209999,119.300003,116.029999,117.220001,115.583511,227400
2020-11-12,116.430000,116.800003,113.900002,115.050003,113.443817,211600
2020-11-13,116.129997,118.790001,116.129997,118.199997,116.549828,152900
2020-11-16,120.980003,121.989998,119.260002,120.820000,119.133255,350500
2020-11-17,119.320000,121.779999,118.919998,121.519997,119.823479,286700
2020-11-18,121.379997,121.830002,118.639999,118.660004,117.003410,520500
2020-11-19,118.250000,119.500000,117.300003,117.839996,116.810104,240700
2020-11-20,117.970001,119.050003,117.320000,118.199997,117.166962,271700
2020-11-23,119.500000,120.559998,118.360001,119.820000,118.772812,228700
2020-11-24,120.099998,123.089996,119.519997,122.650002,121.578072,482300
2020-11-25,121.989998,122.349998,119.559998,121.419998,120.358826,227200
2020-11-27,121.750000,122.349998,120.769997,121.230003,120.170486,140000
2020-11-30,120.610001,120.820000,117.760002,117.800003,116.770462,471700
2020-12-01,120.150002,121.550003,119.739998,120.239998,119.189133,321100
2020-12-02,120.300003,120.620003,118.669998,119.089996,118.049179,738500
2020-12-03,119.440002,120.430000,118.459999,119.470001,118.425865,337700
2020-12-04,120.269997,122.029999,120.070000,121.529999,120.467857,285600
2020-12-07,121.050003,121.879997,120.160004,120.440002,119.387390,346900
2020-12-08,119.699997,122.050003,119.080002,121.019997,119.962318,381000
2020-12-09,122.250000,122.690002,120.010002,120.080002,119.030540,376500
2020-12-10,119.599998,122.849998,119.449997,122.290001,121.221214,349300
2020-12-11,121.349998,122.279999,119.889999,121.279999,120.220047,284500
2020-12-14,122.650002,122.849998,119.470001,119.570000,118.524994,377600
2020-12-15,121.300003,122.000000,119.000000,121.900002,120.834633,382100
